Code,Course,Sec,Description,Mode of,Book,HR,CR,Days,Time,Room,Professor
230,ARTH 111.00,4,Intro:History Of Art,In-Person,,3,3,M,13:10-15:00,HW  615,Staff
,,,,,,,,TH,10:10-11:00,HN  1602,
231,ARTH 111.00,5,Intro:History Of Art,In-Person,,3,3,M,13:10-15:00,HW  615,Staff
,,,,,,,,F,10:10-11:00,HN  1501,
232,ARTH 111.00,6,Intro:History Of Art,In-Person,,3,3,M,13:10-15:00,HW  615,Staff
,,,,,,,,F,10:10-11:00,HN  1503,
233,ARTH 111.00,7,Intro:History Of Art,In-Person,,3,3,M,13:10-15:00,HW  615,Staff
,,,,,,,,W,11:10-12:00,HN  1503,
234,ARTH 111.00,8,Intro:History Of Art,In-Person,,3,3,M,13:10-15:00,HW  615,Staff
,,,,,,,,W,11:10-12:00,HN  1602,
235,ARTH 111.00,9,Intro:History Of Art,In-Person,,3,3,M,13:10-15:00,HW  615,Staff
,,,,,,,,TH,11:10-12:00,HN  1503,
237,ARTH 111.00,11,Intro:History Of Art,In-Person,,3,3,M,13:10-15:00,HW  615,Staff
,,,,,,,,F,11:10-12:00,HN  1501,
238,ARTH 111.00,12,Intro:History Of Art,In-Person,,3,3,M,13:10-15:00,HW  615,Staff
,,,,,,,,F,11:10-12:00,HN  1501,
255,ARTH 111.00,86,Intro:History Of Art,In-Person,,3,3,M,13:10-15:00,HW  615,Staff
,,,,,,,,TH,11:10-12:00,HN  1503,
4916,ARTH 204.00,1,Lat Amr Art Indp Now,In-Person,,3,3,TU,09:45-12:25,HN  1527,"Montgomery, Harper"
257,ARTH 221.00,1,Later Medieval Art,In-Person,,3,3,TH,09:45-12:50,HN  1527,"Fisher, Susannah"
4866,ARTH 280.00,1,Hist Of Photography,In-Person,,3,3,W,09:45-12:25,HN  1527,"Pelizzari, Maria"
5415,ARTH 361.01,1,Great Bldng Of Islam,In-Person,,3,3,M,09:45-12:25,HN  1527,"Avcioglu, Nebahat"
4889,*ARTH 371.02,1,Sp Tpcs: Islamic Art,In-Person,,3,3,M,09:45-12:25,HN  1527,"Avcioglu, Nebahat"
4913,ARTH 371.03,1,Artist's Of Buddhist,In-Person,,3,3,W,09:45-12:25,HN  1501,"Chou, Wen Shing"
283,ARTLA 101.00,1,Intro:Stdy Vis Exper,In-Person,,6,3,M,09:45-12:25,HN  1604,"Dudek, Peter"
,,,,,,,,W,09:45-12:25,HN  1604,"Rauch, Sarada"
288,ARTLA 101.00,6,Intro:Stdy Vis Exper,In-Person,,6,3,M,09:45-12:25,HN  1603,"Keller, Martha"
,,,,,,,,W,09:45-12:25,HN  1603,"Hickman, Robert"
289,ARTLA 101.00,7,Intro:Stdy Vis Exper,In-Person,,6,3,"TU,F",09:45-12:25,HN  1603,"Heidel, Gail"
4817,ASIAN 210.00,1,Asians In The U.S.,In-Person,,3,3,"M,TH",08:10-09:25,HW  408,"Lee, Trevor"
296,ASIAN 210.00,2,Asians In The U.S.,In-Person,,3,3,"TU,F",11:10-12:25,HN  C110,"Chutuape, Erica"
4829,ASIAN 210.00,4,Asians In The U.S.,In-Person,,3,3,W,09:10-12:00,HW  609,"Chutuape, Erica"
5153,ASIAN 210.00,5,Asians In The U.S.,In-Person,,3,3,"M,TH",11:10-12:25,HN  C111,"Velasco-Shaw, Angela"
302,ASIAN 220.06,1,Filipino Amer Lit,Web-Enhanced,,3,3,"TU,F",09:45-11:00,HN  C102,"Francia, Luis"
4828,ASIAN 230.02,1,As Am Comm&Mntl Hlth,In-Person,,3,3,SA,10:10-13:00,HW  706,"Divino, Lily Ann"
304,ASIAN 320.05,1,Asian Amer Memoir,Web-Enhanced,,3,3,"TU,F",11:10-12:25,HW  610,"Hayashida, Jennifer"
5203,*ASIAN 330.54,1,Media Wksp Migration,In-Person,,3,3,W,10:10-13:00,HW  509B,"Velasco-Shaw, Angela"
5279,ASIAN 330.55,1,Asians In Nyc,Web-Enhanced,,3,3,"M,TH",11:10-12:25,HN  732,"Varghese, Linta"
310,ASIAN 340.05,1,New Dir In Aa Cinema,In-Person,,3,3,W,10:10-13:00,HN  C109,"Yang, Chihui"
311,ASIAN 351.52,1,Asian Am Lit&Cult,Web-Enhanced,,3,3,"M,TH",11:10-12:25,HN  C100,"Chon-Smith, Chong"
4824,ASIAN 390.02,1,Aa Civil Rghts & Law,In-Person,,3,3,W,09:10-12:00,HW  113,"Li, Bethany"
315,ASIAN 390.19,1,Asian Amer Queerness,In-Person,,3,3,W,09:10-12:00,HN  C111,"Magpantay, Glenn"
